,species,island,sex,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g
0,Adelie,Biscoe,MALE,51.9907,19.877108,203.62971,4483.6006
1,Gentoo,Biscoe,MALE,59.533737,16.179186,228.42046,5225.8306
2,Chinstrap,Dream,FEMALE,58.918884,17.944897,198.55536,4030.2014
3,Chinstrap,Dream,MALE,59.493996,19.525873,209.86372,4154.6987
4,Adelie,Torgersen,MALE,54.68109,20.237171,202.38828,4343.3325
5,Gentoo,Biscoe,FEMALE,57.254635,14.426775,221.75172,4772.993
6,Adelie,Biscoe,MALE,51.652054,19.830805,203.77791,4499.38
7,Adelie,Biscoe,FEMALE,53.868538,17.889929,205.91893,3153.6772
8,Adelie,Dream,MALE,51.754425,19.187178,197.91917,4848.4385
9,Gentoo,Biscoe,MALE,59.530575,16.221256,228.36752,5222.0044
10,Adelie,Biscoe,FEMALE,53.874786,17.833866,205.16273,3147.9104
11,Gentoo,Biscoe,MALE,59.526424,16.181904,228.15721,5196.9966
12,Gentoo,Biscoe,MALE,59.53375,16.172033,228.2847,5203.913
13,Adelie,Torgersen,MALE,54.692772,20.237541,202.38947,4342.9272
14,Adelie,Biscoe,MALE,51.80144,19.758032,204.14226,4510.377
15,Gentoo,Biscoe,FEMALE,57.146374,14.464978,221.62912,4779.045
16,Adelie,Dream,FEMALE,50.947296,18.11027,195.33755,3837.2356
17,Chinstrap,Dream,MALE,59.48583,19.69025,209.11925,4137.596
18,Adelie,Torgersen,MALE,54.644245,20.236006,202.38454,4344.6064
19,Gentoo,Biscoe,FEMALE,57.25689,14.393848,222.12848,4806.102
20,Chinstrap,Dream,FEMALE,59.031105,17.913994,199.69894,4085.4258
21,Gentoo,Biscoe,MALE,59.52429,16.170256,228.39664,5238.671
22,Adelie,Biscoe,FEMALE,53.895645,17.623308,206.96288,3175.557
23,Adelie,Biscoe,FEMALE,53.872444,17.7193,206.41847,3172.1047
24,Chinstrap,Dream,FEMALE,59.05022,18.007263,198.80531,4029.284
25,Gentoo,Biscoe,FEMALE,57.150417,14.425472,221.3515,4761.0425
26,Gentoo,Biscoe,MALE,59.534935,16.275219,228.31194,5203.6484
27,Gentoo,Biscoe,FEMALE,57.165203,14.422933,222.05482,4808.602
28,Chinstrap,Dream,MALE,59.50474,19.660795,209.42995,4125.1626
29,Gentoo,Biscoe,MALE,59.53157,16.2211,228.34964,5217.3
30,Adelie,Dream,FEMALE,51.036057,18.026272,195.39978,3779.9607
31,Gentoo,Biscoe,MALE,59.534763,16.332249,228.26077,5194.506
32,Adelie,Biscoe,FEMALE,53.957073,17.57646,205.36539,3134.711
33,Gentoo,Biscoe,MALE,59.53427,16.36151,228.4721,5229.371
34,Adelie,Biscoe,FEMALE,53.978634,17.47327,204.36229,3111.5864
35,Adelie,Dream,MALE,51.746696,19.275488,197.53993,4827.911
36,Chinstrap,Dream,FEMALE,58.919678,18.16659,198.41052,4014.2627
37,Chinstrap,Dream,FEMALE,59.012108,18.046988,198.5839,4017.426
38,Chinstrap,Dream,MALE,59.499283,19.568111,209.7533,4142.8755
39,Chinstrap,Dream,MALE,59.500725,19.585106,209.70512,4137.8047
40,Gentoo,Biscoe,FEMALE,57.23495,14.4604,221.75137,4765.3936
41,Adelie,Biscoe,MALE,52.110085,19.813864,203.95183,4493.58
42,Adelie,Biscoe,FEMALE,53.84267,17.771038,205.83528,3175.2534
43,Gentoo,Biscoe,MALE,59.533264,16.211285,228.2556,5199.3027
44,Chinstrap,Dream,FEMALE,58.89418,17.956062,197.6509,3976.5916
45,Gentoo,Biscoe,MALE,59.53508,16.33183,228.3565,5209.3315
46,Gentoo,Biscoe,FEMALE,57.35382,14.444854,222.01068,4837.006
47,Chinstrap,Dream,MALE,59.486206,19.533205,209.7401,4166.0723
48,Adelie,Dream,MALE,51.76391,19.154339,197.88618,4858.5093
49,Adelie,Torgersen,MALE,54.46949,20.230556,202.36703,4350.551
50,Adelie,Biscoe,MALE,52.109154,19.827385,203.8889,4490.9824
51,Chinstrap,Dream,MALE,59.489326,19.624195,209.42969,4143.598
52,Adelie,Dream,MALE,51.74733,19.21995,197.88893,4839.234
53,Adelie,Biscoe,MALE,51.400726,19.802818,203.85672,4509.6367
54,Gentoo,Biscoe,MALE,59.539307,16.262806,228.52193,5230.1235
55,Adelie,Torgersen,FEMALE,50.498325,18.104473,194.11494,4018.552
56,Chinstrap,Dream,MALE,59.495663,19.5247,209.87062,4156.995
57,Adelie,Biscoe,MALE,51.89394,19.789658,204.0178,4502.552
58,Gentoo,Biscoe,MALE,59.538162,16.309958,228.2524,5186.897
59,Gentoo,Biscoe,MALE,59.529453,16.219889,228.18666,5195.341
60,Gentoo,Biscoe,MALE,59.528576,16.19349,228.09317,5183.2188
61,Chinstrap,Dream,FEMALE,58.892982,18.067225,197.66498,3987.2036
62,Gentoo,Biscoe,FEMALE,57.24618,14.386871,221.78157,4780.9067
63,Gentoo,Biscoe,MALE,59.529133,16.234951,228.33824,5219.525
64,Adelie,Dream,MALE,51.74815,19.218624,197.87645,4839.816
65,Gentoo,Biscoe,MALE,59.541893,16.329327,228.5241,5223.5957
66,Chinstrap,Dream,FEMALE,59.025356,17.92969,199.19765,4042.305
67,Chinstrap,Dream,FEMALE,58.886314,17.942936,197.46298,3974.2158
68,Gentoo,Biscoe,MALE,59.540417,16.381739,228.35461,5197.0894
69,Adelie,Biscoe,MALE,51.382732,19.86846,203.54613,4497.19
70,Gentoo,Biscoe,FEMALE,57.324787,14.426653,222.12407,4788.8315
71,Gentoo,Biscoe,MALE,59.536175,16.37261,228.37685,5209.613
72,Gentoo,Biscoe,FEMALE,57.05584,14.448851,221.72208,4767.8955
73,Adelie,Dream,MALE,51.762447,19.191793,197.68234,4850.657
74,Chinstrap,Dream,MALE,59.490654,19.67828,209.22495,4132.6924
75,Gentoo,Biscoe,MALE,59.531067,16.224241,228.43707,5232.478
