,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,source
0,Adelie,Dream,39.5,16.7,178.0,3250.0,FEMALE,real
1,Gentoo,Biscoe,46.9,14.6,222.0,4875.0,FEMALE,real
2,Adelie,Torgersen,42.1,19.1,195.0,4000.0,MALE,real
3,Chinstrap,Dream,49.8,17.3,198.0,3675.0,FEMALE,real
4,Adelie,Biscoe,41.1,18.2,192.0,4050.0,MALE,real
5,Gentoo,Biscoe,44.9,13.8,212.0,4750.0,FEMALE,real
6,Gentoo,Biscoe,50.7,15.0,223.0,5550.0,MALE,real
7,Chinstrap,Dream,49.7,18.6,195.0,3600.0,MALE,real
8,Chinstrap,Dream,49.6,18.2,193.0,3775.0,MALE,real
9,Chinstrap,Dream,51.4,19.0,201.0,3950.0,MALE,real
10,Adelie,Torgersen,42.9,17.6,196.0,4700.0,MALE,real
11,Adelie,Torgersen,34.6,21.1,198.0,4400.0,MALE,real
12,Gentoo,Biscoe,43.3,14.0,208.0,4575.0,FEMALE,real
13,Adelie,Dream,36.8,18.5,193.0,3500.0,FEMALE,real
14,Gentoo,Biscoe,45.1,14.4,210.0,4400.0,FEMALE,real
15,Adelie,Dream,37.0,16.5,185.0,3400.0,FEMALE,real
16,Adelie,Torgersen,36.2,17.2,187.0,3150.0,FEMALE,real
17,Chinstrap,Dream,46.5,17.9,192.0,3500.0,FEMALE,real
18,Adelie,Torgersen,36.7,18.8,187.0,3800.0,FEMALE,real
19,Gentoo,Biscoe,45.7,13.9,214.0,4400.0,FEMALE,real
20,Adelie,Biscoe,42.7,18.3,196.0,4075.0,MALE,real
21,Adelie,Dream,40.7,17.0,190.0,3725.0,MALE,real
22,Gentoo,Biscoe,49.1,15.0,228.0,5500.0,MALE,real
23,Chinstrap,Dream,50.7,19.7,203.0,4050.0,MALE,real
24,Adelie,Torgersen,38.9,17.8,181.0,3625.0,FEMALE,real
25,Adelie,Torgersen,38.6,17.0,188.0,2900.0,FEMALE,real
26,Gentoo,Biscoe,44.9,13.3,213.0,5100.0,FEMALE,real
27,Gentoo,Biscoe,43.5,15.2,213.0,4650.0,FEMALE,real
28,Chinstrap,Dream,58.0,17.8,181.0,3700.0,FEMALE,real
29,Gentoo,Biscoe,49.8,15.9,229.0,5950.0,MALE,real
30,Chinstrap,Dream,43.2,16.6,187.0,2900.0,FEMALE,real
31,Gentoo,Biscoe,52.1,17.0,230.0,5550.0,MALE,real
32,Adelie,Torgersen,41.8,19.4,198.0,4450.0,MALE,real
33,Adelie,Dream,35.7,18.0,202.0,3550.0,FEMALE,real
34,Gentoo,Biscoe,49.8,16.8,230.0,5700.0,MALE,real
35,Gentoo,Biscoe,47.5,14.2,209.0,4600.0,FEMALE,real
36,Chinstrap,Dream,47.6,18.3,195.0,3850.0,FEMALE,real
37,Gentoo,Biscoe,42.7,13.7,208.0,3950.0,FEMALE,real
38,Adelie,Biscoe,35.0,17.9,190.0,3450.0,FEMALE,real
39,Adelie,Torgersen,35.2,15.9,186.0,3050.0,FEMALE,real
40,Adelie,Dream,37.6,19.3,181.0,3300.0,FEMALE,real
41,Adelie,Dream,36.0,17.9,190.0,3450.0,FEMALE,real
42,Chinstrap,Dream,50.5,18.4,200.0,3400.0,FEMALE,real
43,Chinstrap,Dream,47.5,16.8,199.0,3900.0,FEMALE,real
44,Adelie,Torgersen,41.1,18.6,189.0,3325.0,MALE,real
45,Adelie,Torgersen,36.2,16.1,187.0,3550.0,FEMALE,real
46,Gentoo,Biscoe,46.2,14.9,221.0,5300.0,MALE,real
47,Adelie,Biscoe,40.1,18.9,188.0,4300.0,MALE,real
48,Adelie,Biscoe,38.2,20.0,190.0,3900.0,MALE,real
49,Gentoo,Biscoe,48.5,15.0,219.0,4850.0,FEMALE,real
50,Adelie,Biscoe,35.0,17.9,192.0,3725.0,FEMALE,real
51,Gentoo,Biscoe,49.3,15.7,217.0,5850.0,MALE,real
52,Gentoo,Biscoe,45.4,14.6,211.0,4800.0,FEMALE,real
53,Adelie,Biscoe,37.7,18.7,180.0,3600.0,MALE,real
